Product Name,Sentiment,Theme,Customer Star Rating,Feedback Excerpt
Clear Skin Advanced Spot Concentrate,Negative,Price / Value,1,NOT WORTH IT! Does not work.. It did not work. I have a few spots on my face wanted to clear up naturally. After 3 days of use my face broke out and darkened and now blotchy.
Daily Glow Facial Dry Brush,Negative,Texture,5,So soft!.
Healing Eczema Balm,Negative,Skin Reaction / Sensitivity,5,"Eczema Relief. Very helpful in reducing itch, inflammation and spread of eczema . A very beneficial product to have on hand for eczema flares."
Sex Oil,Negative,Texture,5,"Best lube on the market. Best texture, lasts, no irritation but make sure to know it is incompatible with latex condoms :)"
