model,positive_percent,neutral_percent,negative_percent,strong_positive_percent,strong_negative_percent,average_sentiment_score,sentiment_std,average_confidence,runtime_seconds,reviews_per_second,net_sentiment,merchant
distilbert,86.2,0.0,13.8,82.6,11.0,0.7208132109642029,0.661234942125666,0.9750454473495483,11.477978944778442,43.561676006337315,72.39999999999999,cheekbonebeauty
roberta,90.4,7.3999999999999995,2.1999999999999997,70.39999999999999,0.0,0.8161791386008262,0.3349522772640185,0.8429612227082253,19.512892484664917,25.62408419935422,88.2,cheekbonebeauty
bertweet,86.8,12.6,0.6,74.2,0.0,0.8156590020656586,0.3478368094669408,0.8248481619358062,21.881712436676025,22.850131197316532,86.2,cheekbonebeauty
